feature,importance
total_payments_hist,0.2330344103740537
total_contracts_hist,0.1581254627283559
total_debt_hist,0.11007349088534801
avg_completion_rate,0.0807360407944718
max_days_late_hist,0.07936882720016995
avg_days_late_hist,0.07791151114240964
late_rate_hist,0.0697285315029957
late_count_hist,0.05880415312564583
income_declared,0.053785274400432424
has_collateral,0.015407062252875749
products_count,0.014065544964222387
age_group_26-35,0.00588147878964135
age_group_36-45,0.005423694345685273
acquisition_channel_organic,0.0053691131331888575
age_group_46-60,0.004940826408333532
age_group_60+,0.004885775341112155
acquisition_channel_partner,0.0047808748889969915
acquisition_channel_paid_search,0.004726132922336271
acquisition_channel_social_media,0.004484805801009927
age_group_18-25,0.004408825701915997
acquisition_channel_referral,0.004058163296798629
